 Count  Overhead File                    Line Function
    38         0 @Base/sort.jl           848 _sort!(v::Vector{Vector{UInt8}}, …
    38         0 @Base/sort.jl             ? issorted
    38         0 @Base/abstractarray.jl 1090 copyto_unaliased!(deststyle::Inde…
    38         0 @Compiler/src/ssair/inlining.jl   79 ssa_inlining_pass!
    39         0 @Base/broadcast.jl      227 similar
    39         0 @Base/broadcast.jl      228 similar
    40         0 @Base/sort.jl          1099 partition!(t::Vector{Vector{UInt8…
    40         0 @Base/array.jl          800 collect
    41         1 @NCTSSoS/…c/types/polynomial.jl  124 _process_terms(input_terms::Vecto…
    41        41 @Base/float.jl          495 +
    41         0 @NCTSSoS/…imization/symmetry.jl 1847 _lazy_orbit_reduce!(reducer::NCTS…
    41         7 @SparseArrays/src/sparsematrix.jl  893 SparseArrays.SparseMatrixCSC{Floa…
    41         0 @NCTSSoS/…imization/symmetry.jl 1302 _symmetry_key
    41        15 @Base/tuple.jl          488 _totuple
    43         4 @Compiler/src/inferencestate.jl 1205 doworkloop(interp::Compiler.Nativ…
    44         0 @NCTSSoS/…imization/symmetry.jl 2143 _transformed_entry_from_sparse_su…
    44         0 @Compiler/…ractinterpretation.jl 4505 typeinf(interp::Compiler.NativeIn…
    45         0 @Base/sort.jl          1106 partition!(t::Vector{Pair{Vector{…
    47        37 @Base/dict.jl           247 ht_keyindex(h::Dict{Vector{UInt8}…
    47         0 @Base/subarray.jl       339 getindex
    47         0 @Base/tuple.jl          358 map
    47        47 @Base/range.jl          479 unchecked_oneto
    47         0 @Compiler/…ractinterpretation.jl 1353 const_prop_call(interp::Compiler.…
    47         0 @SymbolicWedderburn/src/image_basis.jl  100 image_basis!(A::SparseArrays.Spar…
    47         0 @SparseArrays/src/sparseconvert.jl   20 SparseMatrixCSC
    47         0 @SparseArrays/src/sparseconvert.jl   90 _sparsem
    48         0 @Base/array.jl          790 collect
    49         0 @Base/subarray.jl       398 setindex!
    49         0 @Compiler/…ractinterpretation.jl  899 abstract_call_method_with_const_a…
    49         3 @Base/array.jl          800 collect(itr::Base.Generator{Vecto…
    50         0 @Base/dict.jl           276 ht_keyindex2_shorthash!(h::Dict{N…
    50        50 @Base/abstractarray.jl 1113 copyto_unaliased!(deststyle::Inde…
    51         0 @NCTSSoS/…mplification/pauli.jl   63 _validate_word(::Type{PauliAlgebr…
    51         0 @Base/abstractarray.jl 1084 copyto_unaliased!
    51         0 @Base/abstractarray.jl 1090 copyto_unaliased!
    51         0 @NCTSSoS/…imization/symmetry.jl 2121 _polynomial_from_accumulator(acc:…
    51         3 @NCTSSoS/…imization/symmetry.jl  520 _act_monomial(g::CliffordSymmetry…
    52         0 @Base/generator.jl       48 iterate
    52         0 @Base/number.jl          42 iszero
    52        12 @Base/dict.jl           699 _iterate
    53         0 @NCTSSoS/…ptimization/moment.jl  160 _register_polynomial_keys!(key_to…
    53         0 @Base/array.jl         2081 cmp
    53        53 @Base/int.jl            304 rem
    53         0 @NCTSSoS/…imization/symmetry.jl 1849 _lazy_orbit_reduce!(reducer::NCTS…
    53         0 @NCTSSoS/…imization/symmetry.jl 1117 CliffordSymmetryGroup(generators:…
    54         0 @Base/tuple.jl          454 Tuple
    55        55 @Base/float.jl          497 getindex
    55         8 @SparseArrays/src/higherorderfns.jl  353 _map_zeropres!(f::SparseArrays.Hi…
    56         0 @NCTSSoS/…tion/moment_linear.jl   16 key_lt
    56         0 @Base/sort.jl          1135 _sort!(v::Vector{Pair{Vector{UInt…
    56        47 @Base/abstractarray.jl 1084 copyto_unaliased!(deststyle::Inde…
    56         0 @SymbolicWedderburn/src/image_basis.jl   98 image_basis!(A::SparseArrays.Spar…
    57        54 @Base/dict.jl           291 ht_keyindex2_shorthash!(h::Dict{N…
    57         0 @NCTSSoS/…imization/symmetry.jl 2769 moment_relax_symmetric(pop::PolyO…
    58        18 @NCTSSoS/…c/types/polynomial.jl  795 iterate
    58         0 @Base/dict.jl           266 ht_keyindex2_shorthash!(h::Dict{N…
    59         0 @Base/range.jl          799 length(r::StepRange{Int64, Int64})
    59         0 @NCTSSoS/…imization/symmetry.jl  739 _validate_clifford_symmetry(g::Cl…
    60         0 @NCTSSoS/…mplification/pauli.jl  105 _pauli_product
    61        61 @Base/broadcast.jl        ? copyto!
    62         6 @NCTSSoS/…imization/symmetry.jl 2174 _transformed_entry_from_sparse_su…
    62         0 @Compiler/…ractinterpretation.jl  252 (::Compiler.var"#infercalls#abstr…
    62         5 @NCTSSoS/…imization/symmetry.jl 2754 moment_relax_symmetric(pop::PolyO…
    63         0 @Base/sort.jl          1158 _sort!(v::Vector{Vector{UInt8}}, …
    63         0 @Base/multidimensional.jl 1107 mightalias
    64         0 @NCTSSoS/src/types/monomial.jl  444 isless
    64         0 @Base/operators.jl      399 <
    64         0 @Base/abstractarray.jl 3027 isless
    64         0 @Base/broadcast.jl      537 _bcsm
    64        41 @NCTSSoS/…mplification/pauli.jl   70 _validate_word(::Type{PauliAlgebr…
    65         0 @NCTSSoS/…c/types/polynomial.jl  796 iterate
    65        65 @Base/array.jl            ? simplify!(::Type{PauliAlgebra}, w…
    66         0 @Base/array.jl          826 collect_to_with_first!
    66         0 @Base/array.jl          848 collect_to!
    66        66 @Base/array.jl            ? resize!(a::Vector{UInt8}, nl_::In…
    67         0 @Base/abstractarray.jl 1574 _isdisjoint
    67         9 @SparseArrays/src/higherorderfns.jl  341 _map_zeropres!(f::SparseArrays.Hi…
    68        68 @Compiler/src/typeinfer.jl 1433 add_codeinsts_to_jit!(interp::Com…
    68        16 @SymbolicWedderburn/…s/character_tables.jl   99 SymbolicWedderburn.Characters.Cha…
    69         0 @Base/sort.jl          1154 _sort!(v::Vector{Vector{UInt8}}, …
    69        69 @NCTSSoS/…imization/symmetry.jl  495 _clifford_letter_image(g::Cliffor…
    69         0 @Compiler/…ractinterpretation.jl  178 (::Compiler.var"#handle1#abstract…
    69         0 @Compiler/…ractinterpretation.jl  868 abstract_call_method_with_const_a…
    70         0 @Base/iterators.jl      416 iterate
    70         0 @NCTSSoS/…ptimization/moment.jl  200 _linearize_moment_polynomial(::Ty…
    70         0 @Base/array.jl          299 copyto!
    70         0 @Base/range.jl         1134 ==
    70        70 @Base/array.jl         1489 resize!(a::Vector{UInt8}, nl_::In…
    70        70 @NCTSSoS/…c/types/arithmetic.jl   34 _coeff_to_number
    71        71 @Base/dict.jl           289 ht_keyindex2_shorthash!(h::Dict{N…
    71         0 @Base/abstractarray.jl 1592 dataids
    72         5 @Base/dict.jl           358 setindex!(h::Dict{NormalMonomial{…
    74         0 @NCTSSoS/…imization/symmetry.jl 2158 _transformed_entry_from_sparse_su…
    74         0 @SparseArrays/src/sparsematrix.jl 1028 sparse
    74         0 @SparseArrays/src/sparsematrix.jl  980 convert
    75         0 @Compiler/src/typeinfer.jl 1407 add_codeinsts_to_jit!(interp::Com…
    76         0 @Base/multidimensional.jl 1099 mightalias
    76        61 @Base/multidimensional.jl 1114 _parentsmatch
    76         0 @Base/dict.jl           177 rehash!(h::Dict{NormalMonomial{Pa…
    76         0 @NCTSSoS/…mplification/pauli.jl  170 simplify!(::Type{PauliAlgebra}, w…
    77         0 @Base/array.jl          308 _copyto_impl!
    77         0 @SymbolicWedderburn/…c/Characters/dixon.jl   34 common_esd(Ns::Vector{SymbolicWed…
    77         0 @Base/broadcast.jl      695 _getindex
    78        78 @Base/range.jl          351 steprange_last
    79         0 @Base/dict.jl           703 iterate
    79         0 @SymbolicWedderburn/…s/character_tables.jl   64 SymbolicWedderburn.Characters.Cha…
    79         0 @SymbolicWedderburn/…haracters/cmmatrix.jl   28 getindex(M::SymbolicWedderburn.Ch…
    80        29 @Base/sort.jl           843 _sort!(v::Vector{Pair{Vector{UInt…
    80         0 @Base/math.jl           733 _hypot
    81         0 @Base/array.jl          789 collect
    81         0 @Base/array.jl          658 _similar_shape
    81         0 @Base/generator.jl       53 axes
    82         0 @Base/broadcast.jl      671 _broadcast_getindex
    82         0 @Base/broadcast.jl      665 _broadcast_getindex
    82         0 @Base/int.jl           1013 -
    82         0 @Base/int.jl            557 rem
    82         0 @Base/boot.jl           957 Int64
    82        82 @Base/boot.jl           879 toInt64
    82        82 @Base/range.jl          804 length(r::StepRange{Int64, Int64})
    82         0 @NCTSSoS/…imization/symmetry.jl 2157 _transformed_entry_from_sparse_su…
    84         0 @Base/number.jl           7 convert
    84        84 @NCTSSoS/…imization/symmetry.jl    ? _lazy_orbit_reduce!(reducer::NCTS…
    85        85 @Base/dict.jl           366 setindex!(h::Dict{NormalMonomial{…
    87         0 @Base/array.jl         1555 sizehint!(a::Vector{Tuple{Complex…
    87         0 @Base/dict.jl           290 ht_keyindex2_shorthash!(h::Dict{N…
    87         0 @NCTSSoS/…imization/symmetry.jl 1846 _lazy_orbit_reduce!(reducer::NCTS…
    88         0 @Base/array.jl         1528 sizehint!
    89         0 @Base/array.jl          673 _array_for
    91         1 @NCTSSoS/src/types/monomial.jl  377 copy(m::NormalMonomial{PauliAlgeb…
    91         0 @Base/abstractarray.jl    ? hash(A::Vector{UInt8}, h::UInt64)
